Soil Type,ID,Horizont,Top,Bottom,pH (H2O),pH (KCl),Y1,T-S,S,T,V,Humus,N,C/N,P2O5,K2O,As,Co
Vertisol,164,AvtC,20,30,6,4.75,9,5.85,22.44,28.29,79.32,2.28,,,0,20.31,126,19.9
Vertisol,166,Avt,0,29,5.65,4.5,14.09,9.16,30.84,40,77.1,5.77,0.17,19.68,0.09,34.58,290,19.1
Vertisol,166,AvtC,29,38,5.7,4.7,9.55,6.21,38.17,44.75,85.3,2.21,,,0,15.68,134,19.4
Vertisol,237,Avt,0,30,6.02,4.9,11.9,7.74,35.24,42.98,82,4.95,0.18,15.95,22.54,93.24,6.9,25
Vertisol,237,AvtC,30,49,6.43,5.1,8,5.2,38.04,43.24,87.97,2.32,,,10.06,36.75,2.7,19.2
Vertisol,240,Avt,0,30,5.55,4.35,13.5,8.78,30.84,39.62,77.85,3.94,0.16,14.28,0.9,18.51,4.4,17.3
Vertisol,241,Avt,0,30,5.48,4.4,15.5,10.08,26.04,36.12,72.1,4.92,0.17,16.78,0.49,29.88,9.5,21.8
Vertisol,241,AvtC,30,70,5.95,4.5,9.31,6.05,39.24,45.29,86.64,1.22,,,0,19.76,2.6,18.2
Vertisol,257,Avt,0,35,5.8,4.8,13.5,8.78,39.24,48.02,81.72,6.5,0.27,13.96,5.71,56.76,12.3,22
Vertisol,257,Avt,35,68,6.3,4.7,8.59,5.59,42.44,48.03,88.37,2.1,,,0.49,21.02,2.7,21.2
Eutricni kambisol,2,Amo,0,28,5.9,4.5,14.85,9.65,27.68,37.33,74.14,3.6,0.15,13.92,0.18,11.61,26.3,23.75
Eutricni kambisol,2,Bv,28,43,6.45,4.65,11,7.15,57.68,64.83,88.97,1.96,,,0.07,14.97,5.6,23.4
Eutricni kambisol,3,Amo,0,15,5.95,4.55,14.6,9.49,33.68,43.17,78.02,2.98,0.14,12.34,2.34,24.15,19,23.45
Eutricni kambisol,3,Bv,15,29,6,4.5,14.15,9.2,34.88,44.08,79.13,3.03,,,2.47,22.9,14.8,24
Eutricni kambisol,13,Amo,0,30,5.95,4.65,15.55,10.11,34.48,44.59,77.33,6.92,0.25,16.05,0.25,20.86,36.8,22.45
Eutricni kambisol,13,Br,30,67,6.4,4.95,11.5,7.48,36.88,44.36,83.15,3.63,,,0.06,10.15,22.8,28.23
Eutricni kambisol,22,Amo,0,32,7.05,5.9,11.35,7.38,29.68,37.06,80.09,4.3,0.11,22.67,0.8,7.33,66.2,17.25
Eutricni kambisol,22,Bv,32,55,6.95,5.35,9.4,6.11,28.08,34.19,82.13,0.93,,,0.1,12.71,46,21.15
Eutricni kambisol,22,BvC,55,88,7.3,6.05,11.75,7.64,17.28,24.92,69.35,1.38,,,0.05,5.61,33.1,20.15
Eutricni kambisol,23,Amo,0,27,6.05,4.9,5.7,3.71,25.68,29.39,87.39,5.13,0.17,17.5,4.25,39.74,24,19.9
Eutricni kambisol,23,Bv,27,77,6,4.6,4.1,2.67,27.28,29.95,91.1,1.2,,,0.08,8.35,3.7,18.15
Eutricni kambisol,23,Bvg,77,100,6.5,4.8,5.2,3.38,31.28,34.66,90.25,0.68,,,0.04,12.01,3.8,18.2
Eutricni kambisol,27,Amo,0,13,4.95,4,9.7,6.31,15.28,21.59,70.79,5.53,0.2,16.04,0.06,11.26,57.9,20.45
Eutricni kambisol,27,Amo,13,18,5,3.9,11.15,7.25,14.88,22.13,67.25,3.11,,,0.03,12.76,58.1,29
Eutricni kambisol,27,Btv,18,32,5,3.85,7.75,5.04,15.68,20.72,75.68,2.34,,,0.02,11.26,54.3,28.25
Eutricni kambisol,27,Bv,32,59,5.4,4.1,20.65,13.42,14.08,27.5,51.2,0.76,,,0.01,9.07,21.4,20.05
Eutricni kambisol,34,Amo,0,16,5.8,4.9,9.75,6.34,23.68,30.02,78.89,3.53,0.12,17.06,1.99,18.72,54.4,18.8
Eutricni kambisol,34,Amo,16,37,6,4.85,6.96,4.52,28.08,32.6,86.13,1.87,,,0.62,18.31,11.9,16.75
Eutricni kambisol,34,Bv,37,70,6.5,5,6.82,4.43,40.48,44.91,90.13,1.02,,,0.01,15.09,10.4,21.25
Eutricni kambisol,35,Amo,0,17,5.3,4.3,12.9,8.39,21.28,29.67,71.73,2.36,0.12,11.4,0,17.9,56,17.25
Eutricni kambisol,35,Amo,17,30,5.45,4.35,12.5,8.13,22.11,28.32,78.07,1.56,,,0,18.01,22.13,19.2
Eutricni kambisol,35,Bv,30,46,5.6,4.6,10.95,7.11,22.12,26.53,83.37,1.02,,,0,10.59,10.8,21.3
Eutricni kambisol,38,Amo,0,20,5.5,4.45,18,11.7,32.08,43.78,73.28,4.71,0.21,13,0.05,8,48.9,20.9
Eutricni kambisol,38,Bv,20,45,6.05,4.5,12.5,8.13,38.08,46.21,82.42,2.44,,,0,9.79,5.5,24
Eutricni kambisol,42,Amo,0,10,4.8,3.8,22,14.3,22.08,36.38,60.69,6.69,0.22,17.63,12.16,25.62,56,19.45
Eutricni kambisol,42,Amo,10,37,5.2,3.95,24,15.6,22.08,37.68,58.6,3.52,,,6.2,12.76,25.4,22
Eutricni kambisol,42,Bv,37,110,4.9,3.6,21.5,13.98,22.88,36.86,62.08,2.01,,,3.99,6.61,3.9,17.85
Eutricni kambisol,42,C,110,140,5.5,3.8,12.25,7.96,34.08,42.04,81.06,0.71,,,1.52,9.79,4.5,21.5
Eutricni kambisol,44,Amo,0,26,6.1,5,9.5,6.18,34.44,40.62,84.8,5.18,0.19,15.81,0.65,26.07,46.5,16.3
Eutricni kambisol,44,Bv,26,45,6.1,4.6,8.44,5.48,45.24,50.72,89.19,0.92,,,0,31.16,13.5,18.3
Eutricni kambisol,45,Amo,0,19,4.9,3.9,29.2,18.98,21.64,40.62,53.27,5.03,0.2,14.59,1.69,20.08,65.7,21.7
Eutricni kambisol,45,Bv1,19,48,5.4,3.85,17,11.05,24.44,35.49,68.86,1.03,,,0.87,8.74,7.2,21.95
Eutricni kambisol,45,Bv2,48,76,5.8,4,12,7.8,29.64,37.44,79.17,0.32,,,0.05,8.37,2.4,23.35
Eutricni kambisol,50,Amo,0,23,5.2,4.05,26.8,17.42,28.44,45.86,62.01,3.85,0.13,17.17,0.3,15.29,65.9,18.65
Eutricni kambisol,50,Bv,23,55,6.1,4.7,11.85,7.7,32.84,40.54,81,2.3,,,0,11.78,42.4,17.75
Eutricni kambisol,56,Amo,2,14,5.5,4.45,19.9,12.94,23.64,36.58,64.63,7.5,0.25,17.4,0.37,14.11,77.7,22.85
Eutricni kambisol,56,Amo,14,28,5.4,3.9,21.75,14.14,22.44,36.58,61.35,2.99,,,0,8.74,77.8,25.65
Eutricni kambisol,56,Bv2,28,50,6.15,4.75,9.45,6.14,30.04,36.18,83.02,1.87,,,0,8.74,22.6,25.75
Eutricni kambisol,219,Amo,8,22,4.7,4,31.41,20.41,14.04,34.45,40.75,5.63,0.31,10.54,0.14,24.55,23.7,20.5
Eutricni kambisol,219,B,22,53,5.3,4.3,17.5,11.38,18.04,29.42,61.33,2.88,,,0.01,12.85,13.3,22.2
Eutricni kambisol,226,OL,0,3,,,,,,,,8.52,0.24,20.59,,,23,12
Eutricni kambisol,226,Amo,3,27,5.12,4.05,13.1,8.52,22.04,30.56,72.13,4.51,0.16,16.34,2.84,13.59,4,18.8
Eutricni kambisol,226,Bv,27,55,4.7,3.9,26.75,17.39,14.84,32.23,46.05,1.77,,,0,22.39,25.2,13.7
Eutricni kambisol,226,BvC,55,100,4.6,3.8,21.75,14.14,12.84,26.98,47.6,1.41,,,0,18.65,12,16.45
Eutricni kambisol,227,OL,0,3,,,,,,,,8.42,0.24,20.34,,,40,22.1
Eutricni kambisol,227,Amo,3,18,4.7,3.9,23.65,15.37,14.84,30.21,49.12,3,0.14,12.42,0,33.31,39,24.5
Eutricni kambisol,227,AmoBv,18,39,5.05,4,15.25,9.91,18.44,28.35,65.04,1.68,,,0,8.6,26.9,22.1
Eutricni kambisol,227,Bv,39,74,5.2,4,15.68,10.19,17.24,27.43,62.84,1.66,,,0,6.93,31.8,23
Eutricni kambisol,229,Amo,0,25,4.87,3.9,19.5,12.68,18.04,30.72,58.73,2.8,0.14,11.6,0.17,12.48,9.6,15.2
Eutricni kambisol,229,Bv,25,43,5.1,3.9,14.35,9.33,22.04,31.37,70.26,1.59,,,0,7.26,3.6,14.7
Eutricni kambisol,234,Amo,0,25,4.95,3.9,19.5,12.68,20.04,32.72,61.26,2.73,0.13,12.18,0,17.84,6.3,17.1
Eutricni kambisol,234,AmoC,25,54,5.45,4.1,11.05,7.18,21.24,28.42,74.73,1.29,,,0,8.94,3.1,16.7
Eutricni kambisol,234,C,54,75,5.7,4.1,10.94,7.11,35.24,42.35,83.21,0.63,,,0.01,17.05,2.9,26.9
Eutricni kambisol,244,Amo,0,21,4.7,3.8,25.35,16.48,18.84,35.32,53.34,4.22,0.18,13.59,2.16,47.34,17.2,23.45
Eutricni kambisol,244,Bv,21,51,5.52,4.4,10.6,6.89,24.04,30.93,77.72,1.44,,,0.9,21.45,4.3,23.3
Eutricni kambisol,245,Amo,0,30,5.58,4.4,11.2,7.28,23.24,30.52,76.15,3.37,0.12,16.28,1.65,31.27,4.5,12.05
Eutricni kambisol,245,Bv1,30,65,5.6,4.4,10.5,6.83,22.04,28.77,76.61,2.51,,,,,3.1,14.15
Eutricni kambisol,245,Bv2,65,100,5.96,4.55,8.25,5.36,26.04,31.4,82.92,1.25,,,2.03,19.76,2.3,15.75
Eutricni kambisol,246,Amo,0,26,5.42,4.4,13.6,8.84,22.84,31.68,72.1,2.4,0.1,13.92,0.09,31.27,5.6,29.05
Eutricni kambisol,246,Amo,26,40,5.55,4.4,12.2,7.93,22.04,29.97,73.54,2.01,,,0,24.48,5,29.3
Eutricni kambisol,246,Bv,40,62,5.6,4.4,10.5,6.83,22.04,28.87,76.36,1.19,,,0,12.12,4.8,35.7
Eutricni kambisol,246,BvC,62,130,5.6,4.42,9.8,6.37,22.04,28.41,77.58,0.61,,,1.3,15.66,9.6,32.3
Districni kambisol,17,Aoh,0,28,,,,,,,,,,,,,27,16.1
Districni kambisol,17,Bv,28,73,,,,,,,,,,,,,19.1,20.55
Districni kambisol,17,BvC,73,88,,,,,,,,,,,,,9.7,22.8
Districni kambisol,30,Aum,0,19,,,,,,,,,,,,,48.5,14.65
Districni kambisol,30,B,19,45,,,,,,,,,,,,,11,17.1
Districni kambisol,48,Aoh,0,27,4.8,3.6,31.85,20.7,27.24,47.94,56.82,3.58,0.12,17.3,1.79,24.6,40.2,24.55
Districni kambisol,48,Bv,27,55,4.9,3.65,28.3,18.4,28.44,46.84,60.72,1.91,,,1.2,16.87,21.2,24.4
Districni kambisol,110,Aum,0,20,3.8,3.25,63.07,40.99,5.64,46.63,12.09,7.24,0.21,19.99,2.01,16.71,106,11.85
Districni kambisol,110,Bv,20,50,4.3,3.8,29.4,19.11,5.64,24.75,22.79,3.47,,,0,7.41,18.9,18
Districni kambisol,111,Aum,0,20,4,3.4,38.5,25.03,5.24,30.27,17.31,6.04,0.22,15.92,0.8,13.01,69.6,21.7
Districni kambisol,111,Bv,20,43,4.15,3.6,41.25,26.81,4.84,31.65,15.29,2.08,,,0,8.2,47.1,22.55
Districni kambisol,111,BvC,43,62,4.1,3.55,38.25,24.86,7.24,32.1,22.55,1.09,,,0,8.59,42.7,22.2
Districni kambisol,119,OL,0,7,,,,,,,,10.22,0.33,17.96,,,138,21.1
Districni kambisol,119,Aum,7,27,3.8,3.3,73.6,47.84,6.04,53.88,11.21,5.17,0.12,24.98,10.31,15.88,84,17.75
Districni kambisol,119,Bv,27,49,4.6,3.8,34.5,22.43,10.84,33.27,32.59,3.61,,,1.5,11.39,13.7,19.25
Districni kambisol,119,BvC,49,72,4.75,3.8,28.9,18.79,10.84,29.63,36.59,2.31,,,1.15,13.83,10.4,20.4
Districni kambisol,120,OL,0,3,,,,,,,,14.06,0.37,22.04,,,61,15.55
Districni kambisol,120,Aum,3,30,4.1,3.3,62.24,40.46,9.64,50.1,19.24,6.76,0.18,21.78,1.28,17.13,59.4,14.4
Districni kambisol,120,Bv,30,55,4.9,3.75,20.1,13.07,13.64,26.71,51.08,1.02,,,0,6.62,9,12.75
Districni kambisol,122,OL,0,7,,,,,,,,16.11,0.49,19.06,,,127,15.8
Districni kambisol,122,Aum,7,30,3.8,3.25,94.23,61.25,11.64,72.89,15.97,9.37,0.37,,4.63,21.99,90,15.6
Districni kambisol,122,Bv,30,55,4.5,3.7,38.55,25.06,12.84,37.9,33.88,4.98,,,0,11.67,17.2,21.55
Districni kambisol,124,OL,0,4,,,,,,,,15.95,0.52,17.79,,,328,17.15
Districni kambisol,124,Aum,4,23,4.15,3.5,72.14,46.89,6.84,53.73,12.73,7.1,0.28,14.7,12.78,23.68,311,18
Districni kambisol,165,Aum,0,20,4.65,3.7,29.85,19.4,15.24,34.64,43.99,4.76,0.2,13.8,0.86,37.48,138,21.3
Districni kambisol,165,Bv,20,45,4.8,3.65,21.25,13.81,16.44,30.25,54.34,1.06,,,0,15.1,16.9,20.25
Districni kambisol,165,BC,45,60,4.9,3.7,16.5,10.73,17.24,27.97,61.65,1.29,,,0,15.48,243,18.75
Districni kambisol,169,Aoh,0,30,4.3,3.5,43,27.95,8.84,36.79,24.03,3.51,0.2,10.18,1.85,19.07,46,8
Districni kambisol,169,Bv,30,50,4.55,3.6,30.65,19.92,10.84,30.76,35.24,1.59,,,0,13.94,29.5,7.6
Districni kambisol,201,Aum,0,20,4.5,3.6,53.02,34.46,10.84,45.3,23.93,9.87,0.33,17.34,2.62,13.22,58.3,19.15
Districni kambisol,201,Bv,20,45,4.7,3.8,42.6,27.69,12.04,39.73,30.3,4.11,,,0.34,14.72,61.5,18.35
Districni kambisol,243,OL,0,5,,,,,,,,6.94,0.26,15.48,,,59,26.35
Districni kambisol,243,Aoh,5,42,4.3,3.6,41.25,26.81,11.24,38.05,29.54,4.87,0.19,14.86,0.09,11.73,39.3,29.3
Districni kambisol,243,Bv,42,69,5.14,4.25,18,11.7,13.64,25.34,53.83,2.33,,,0.01,11.35,49.6,20.4
Districni kambisol,243,BvC,69,75,4.7,3.8,22.85,14.85,14.84,29.69,49.98,1.23,,,0,11.73,16.2,27.15
Districni kambisol,261,L,0,9,,,,,,,,5.88,0.28,12.18,,,51,18.65
Districni kambisol,261,Aoh,9,22,4.6,3.9,35.7,23.21,9.64,32.85,29.35,4.75,0.25,11.02,0.8,8.36,38,14.6
Districni kambisol,261,Bv,22,60,4.82,4.1,34.75,22.59,9.64,32.23,29.91,2.18,,,0.32,4.43,26.4,15.15
Kalkokambisol,19,Amo,0,18,7.45,6.5,3.6,2.34,55.68,58.02,95.97,6.38,0.39,9.48,17.48,21.26,48,19.4
Kalkokambisol,19,AmoC,18,40,7.7,6.7,10,6.5,89.28,95.78,93.21,5.67,,,14.34,20.45,30.7,19.75
Kalkokambisol,25,Amo,0,30,5.85,4.75,9.2,5.98,21.68,27.66,78.38,2.71,0.14,11.22,0.11,13.53,34.5,20.75
Kalkokambisol,25,Brz,30,60,6.3,5,7,4.55,28.88,33.43,86.39,1.44,,,0.01,15.09,19.1,21.4
Kalkokambisol,29,Amo,0,30,5.1,4.65,23,14.95,33.28,48.23,69,5.54,0.25,12.85,0.06,17.08,73.8,20.85
Kalkokambisol,29,Brz,30,50,5.25,4.4,10.25,6.66,34.48,41.14,83.81,2.47,,,0.02,17.9,37.5,29
Kalkokambisol,33,Amo,0,23,5.55,4.5,30.5,19.83,23.68,43.51,54.43,4.03,0.15,15.58,0.6,15.09,67,18.7
Kalkokambisol,33,Brz,23,70,5.75,4.7,9.3,6.05,22.48,28.53,78.81,1.47,,,0.01,9.43,44.9,21.05
Kalkokambisol,64,Amo,0,21,5.4,4.2,22.92,14.9,24.04,38.94,61.74,7.41,0.25,17.19,0.55,14.89,137,24
Kalkokambisol,64,Amo(Brz),21,38,5.4,4.2,17.6,11.44,23.64,35.08,67.38,2.91,,,0.25,12.56,77.5,19.8
Kalkokambisol,64,Br21,38,55,6.05,4.8,11.36,7.39,30.84,38.23,80.68,1.98,,,0.17,19.27,68.1,17.25
Kalkokambisol,70,A,0,55,5.4,4.2,16.35,10.63,20.44,31.07,65.79,2.02,0.12,9.76,0,10.99,102,16.55
Kalkokambisol,70,Bvz,55,90,6.15,4.85,9.26,6.02,34.04,40.06,84.97,1.06,,,0,23.07,132,15.45
Kalkokambisol,73,Amo,0,33,6.8,5.85,6.67,4.33,39.64,43.97,90.15,6.35,0.35,10.52,0,19.65,142,19.85
Kalkokambisol,73,Brz,33,60,6.6,5.5,7.05,4.58,36.04,40.62,88.72,1.89,,,0,18.39,106,26
Kalkokambisol,75,Amo,0,33,7.3,6.3,2.75,1.79,32.44,34.23,94.78,2.59,0.1,15.02,2.59,21.35,22.4,15.75
Kalkokambisol,75,BrzC,33,50,7,5.6,4.8,3.12,24.84,27.96,88.84,1.27,,,0.44,18.81,15.4,14.65
Luvisol,16,Amo,0,34,5.2,4.15,23,14.95,23.68,38.63,61.3,6.21,0.25,14.4,1.62,16.89,43.7,19.75
Luvisol,16,E,34,70,5.7,4.3,14.1,9.17,23.28,32.45,71.75,2.36,,,0.02,9.79,8.5,22.05
Luvisol,16,Btg,70,100,6.15,4.6,12.2,7.93,29.28,37.21,78.69,2.51,,,0.55,28.4,17.2,18.5
Luvisol,31,Amo,0,25,4.7,4.2,31.15,20.25,15.68,35.93,43.64,6.8,0.28,14.08,0.02,9.79,58.3,11.7
Luvisol,31,E,25,45,5.15,4.35,11.5,7.48,10.88,18.36,59.28,3.5,,,0.01,6.61,8.5,12.2
Luvisol,31,Btg,45,65,5.2,4.2,9.15,5.95,20.88,26.83,77.83,0.38,,,0.01,9.07,8.9,12.05
Luvisol,52,Aoh,0,25,4.75,3.65,32.5,21.13,5.24,26.37,19.87,5.18,0.18,16.69,0.31,9.88,50.2,13.3
Luvisol,52,E,25,52,5.3,3.9,16.1,10.47,13.24,23.71,55.85,1.51,,,0,6.5,4.9,12
Luvisol,52,Btg,52,73,5.5,3.9,11.7,7.61,15.24,22.85,66.71,0.69,,,0,13.72,6.8,14.8
Luvisol,139,Aoh,0,16.5,4,3.35,58,37.7,6.04,43.74,13.81,2.5,0.1,14.5,0,6.7,30.1,12.05
Luvisol,139,Aoh,16.5,26,3.9,3.35,58.6,38.09,4.84,42.93,11.27,1.8,,,0,6.02,29.4,13.15
Luvisol,139,E,26,44,4.4,3.5,23.1,15.02,6.84,21.86,31.3,0.79,,,0,4.69,8.8,13.1
Luvisol,139,Bt1,44,70,4.6,3.6,16.15,10.5,8.04,18.54,43.37,0.23,,,0,6.02,7,17.75
Luvisol,139,Bt2,70,103,4.6,3.6,17,11.05,8.44,19.49,43.3,0.11,,,0,7.39,8.3,17.2
Planisol,1,Amo,0,25,5.92,4.75,12,7.8,27.28,35.08,77.77,4.91,0.17,16.75,5.75,25.41,4.7,22.35
Planisol,1,Eg,25,45,6.5,4.65,8.85,5.75,37.68,43.43,86.76,1.43,,,0.12,18.46,18.7,19.15
Planisol,1,Btg,45,68,6.9,4.8,6.3,4.1,42.08,46.18,91.13,1.05,,,0.1,14.97,3,19.2
Planisol,1,BtgC,68,100,7.25,4.9,4.8,3.12,41.28,44.4,92.97,0.41,,,0.05,11.24,1.8,15.55
Planisol,5,Amo,0,20,5.95,4.8,15.65,10.17,36.88,47.05,78.38,6.55,0.27,14.07,0.2,10.8,38.3,22.75
Planisol,5,Eg,20,40,6.3,4.7,10.9,6.5,31.08,40.58,81.96,3.21,,,0.15,16.44,18.1,19.35
Planisol,5,Btg,40,63,6.5,4.8,7.42,4.83,35.88,40.71,87.76,1.05,,,0.01,12.31,5.2,19.9
Planisol,7,Amo,0,29,5.85,4.6,12.95,8.42,23.68,32.1,73.78,3.41,0.16,12.36,0.89,32.36,21.7,17.95
Planisol,7,Eg,29,45,6.1,4.7,11.15,7.25,24.48,31.73,77.16,2.82,,,0.87,22.9,16.2,19.45
Planisol,7,Btg1,45,73,6.6,4.9,8.55,5.56,29.68,35.24,84.23,1.6,,,0.06,28.4,4.8,19.55
Planisol,7,Btg2,73,100,6.7,4.8,7.1,4.62,31.68,36.3,87.28,1.46,,,0.02,18.6,4.9,19.4
Planisol,15,Amo,0,36,6.4,5.3,11.35,7.38,40.88,48.26,84.71,6.27,0.29,12.54,0.39,11.61,52.8,18.45
Planisol,15,Eg,36,70,6.45,5.05,11.3,7.35,33.28,40.63,81.92,3.42,,,0.1,9.08,11.3,21.9
Planisol,15,Ebtg,70,100,6.4,5.1,8.75,5.69,30.88,36.57,84.45,2.34,,,0.08,13.08,9,27
Planisol,15,Btg,100,135,6.5,5.2,7.95,5.17,36.88,42.05,87.7,2.56,,,0.02,14.59,10.1,29.2
Planisol,112,Amo,0,23,4.7,3.75,32.5,21.13,19.64,40.77,48.18,6.04,0.25,14.01,0.19,30.99,17.6,18.85
Planisol,112,E,23,34,5.2,4,21.35,13.88,24.44,38.32,63.78,2.61,,,0,15.47,7,21.8
Planisol,112,Btg,34,55,5.3,4,17.5,11.38,26.44,37.82,69.92,1.21,,,0,12.6,18.4,23
Planisol,112,BtgC,55,79,5.5,4,12.3,8,32.44,40.44,80.23,0.47,,,0,10.99,7.6,21.1
